秦皇岛 石家庄	NS3280	10:05	11:10	E190		1	100	8	20		50		1100 
秦皇岛 石家庄	NS3292	13:35	14:35	E190		3	100	8	20		50		1200
秦皇岛 上海	FM9142	10:30	12:30	B737	5	100	8	20		50		1300
秦皇岛 哈尔滨	DR6541	13:05	14:55	B738	4	100	8	20		50		1050
秦皇岛 成都	DR6542	18:55	21:50	B738	5	100	8	20		50		1810
秦皇岛 徐州	HU7324	15:15	16:45	B738	6	100	8	20		50		1050
秦皇岛 广州	HU7324	15:15	20:10	B738	7	100	8	20		50		2190
秦皇岛 郑州	CZ8528	15:30	17:10	B738	2	100	8	20		50		1060
秦皇岛 深圳	CZ8528	15:30	20:30	B738	2	100	8	20		50		2180
秦皇岛 长沙	CZ6700	22:10	0:50	A320	3	100	8	20		50		1750
秦皇岛 张家口	G52866	19:05	20:20	CRJ900		4	100	8	20		50		900
秦皇岛 西安	G52866	19:05	22:40	CRJ900		3	100	8	20		50		2100
秦皇岛 呼和浩特	G52796	21:55	23:05	CRJ900		2	100	8	20		50		800
上海 北京 G52796	21:55	23:05	CRJ900		7	100	8	20		50		800
上海 北京 G52796	21:55	23:05	CRJ900		5	100	8	20		50		800
上海 北京 G52796	21:55	23:05	CRJ900		3	100	8	20		50		800
